BC187_Deleterious_Genes,BY4743_Deleterious_Genes,DBVPG1373_Deleterious_Genes,NCYC3290_Deleterious_Genes,Y12_Deleterious_Genes,Y2209_Deleterious_Genes,Y389_Deleterious_Genes,Y7568_Deleterious_Genes,YJM1273_Deleterious_Genes,YJM1389_Deleterious_Genes,YJM1592_Deleterious_Genes,YJM978_Deleterious_Genes,YPS128_Deleterious_Genes,YPS163_Deleterious_Genes
YNL269W,YOL038C-A,YIL057C,YIL072W,YEL051W,,,,YHR160C,YGR254W,,,,YOL048C
YNL332W,YOL139C,YIL087C,YIL087C,YEL056W,,,,YIL024C,YGR262C,,,,YOL068C
YNR040W,YPL001W,YIL092W,YIL102C,YEL063C,,,,YIL044C,YGR267C,,,,YOL071W
YNR058W,YPL074W,YIL102C,YIL157C,YER006W,,,,YIL152W,YHL001W,,,,YOL088C
YOL055C,YPL229W,YIL106W,YIR035C,YER007W,,,,YIR005W,YHL011C,,,,YOL159C-A
YOL056W,,YIL121W,YJL019W,YER012W,,,,YIR039C,YHL015W-A,,,,YOR033C
YOL091W,,YIL157C,YJL033W,YER034W,,,,YJR024C,YHL032C,,,,YOR034C-A
YOR001W,,YIR010W,YJL063C,YER039C-A,,,,YJR050W,YHR001W-A,,,,YOR062C
YOR122C,,YJL060W,YJL091C,YER042W,,,,YJR078W,YHR017W,,,,YOR131C
YOR156C,,YJL104W,YJL096W,YER049W,,,,YJR080C,YHR075C,,,,YOR164C
YOR159C,,YJL145W,YJL104W,YER058W,,,,YJR082C,YHR088W,,,,YOR197W
YOR215C,,YJL155C,YJL115W,YER067W,,,,YKL037W,YHR101C,,,,YOR279C
YOR349W,,YJL186W,YJL127C,YER071C,,,,YKL095W,YHR132C,,,,YOR285W
YPL054W,,YJL208C,YJL145W,YER078C,,,,YKR080W,YHR134W,,,,YOR344C
YPL124W,,YJL209W,YJL217W,YER080W,,,,YKR091W,YHR140W,,,,YOR357C
YPR032W,,YJR101W,YJR104C,YER094C,,,,YLL025W,YHR181W,,,,YOR378W
YPR091C,,YJR104C,YJR153W,YER137C,,,,YLR051C,YHR191C,,,,YPL130W
YPR141C,,YJR115W,YKL013C,YER143W,,,,YLR113W,YIL009C-A,,,,YPL159C
YBR279W,,YJR153W,YKL116C,YER146W,,,,YLR226W,YIL051C,,,,YPL245W
YDR120C,,YKL013C,YKL137W,YER161C,,,,YLR321C,YIL057C,,,,YPR066W
YDR465C,,YKL071W,YKL145W,YER163C,,,,YML038C,YIL067C,,,,YPR108W
YGL197W,,YKL086W,YKR018C,YER175W-A,,,,YML079W,YIL087C,,,,YPR167C
YGR001C,,YKL087C,YKR037C,YER180C-A,,,,YML125C,YIL099W,,,,YBR058C-A
YGR128C,,YKL116C,YKR072C,YER186C,,,,YNL046W,YIL121W,,,,YBR063C
YGR143W,,YKL137W,YKR085C,YFL012W,,,,YNL062C,YIL132C,,,,YBR091C
YGR173W,,YKL143W,YLL046C,YFL029C,,,,YNL156C,YIL157C,,,,YBR200W-A
YLR045C,,YKL159C,YLR018C,YFL045C,,,,YNL204C,YIR021W,,,,YBR204C
YNL117W,,YKL191W,YLR022C,YFL052W,,,,YOL151W,YIR035C,,,,YCL001W
YNL263C,,YKL201C,YLR070C,YFR003C,,,,YOR020W-A,YIR038C,,,,YCL001W-A
YNR019W,,YKL221W,YLR118C,YFR006W,,,,YOR103C,YJL023C,,,,YCL051W
YNR023W,,YKR024C,YLR146C,YFR025C,,,,YOR237W,YJL060W,,,,YCR087C-A
YOL023W,,YKR070W,YLR192C,YFR026C,,,,YOR283W,YJL062W-A,,,,YDL059C
YOR061W,,YKR078W,YLR238W,YFR027W,,,,YOR286W,YJL115W,,,,YDL217C
YOR172W,,YKR085C,YLR251W,YFR044C,,,,YOR316C,YJL127C,,,,YDL235C
YPR023C,,YLL038C,YLR263W,YFR045W,,,,YPL181W,YJL143W,,,,YDR152W
,,YLL051C,YLR352W,YFR051C,,,,YPR101W,YJL156C,,,,YDR244W
,,YLR021W,YLR435W,YFR055W,,,,YPR192W,YJL183W,,,,YDR253C
,,YLR022C,YLR443W,YGL004C,,,,YAR002C-A,YJL194W,,,,YEL001C
,,YLR070C,YLR459W,YGL018C,,,,YDR222W,YJL210W,,,,YEL066W
,,YLR100W,YML019W,YGL037C,,,,YGR040W,YJL217W,,,,YFR011C
,,YLR118C,YML031W,YGL040C,,,,YHR189W,YJR115W,,,,YFR039C
,,YLR120C,YML105C,YGL058W,,,,YJR059W,YJR141W,,,,YGL043W
,,YLR141W,YML129C,YGL063W,,,,YNL190W,YKL016C,,,,YGR015C
,,YLR146C,YMR040W,YGL065C,,,,YNL289W,YKL071W,,,,YGR035W-A
,,YLR192C,YMR065W,YGL067W,,,,YOR185C,YKL086W,,,,YGR146C-A
,,YLR201C,YMR099C,YGL082W,,,,YOR238W,YKL145W,,,,YGR168C
,,YLR263W,YMR166C,YGL091C,,,,YPL135W,YKL159C,,,,YGR233C
,,YLR306W,YMR187C,YGL127C,,,,YPL189C-A,YKL201C,,,,YGR236C
,,YLR353W,YMR193W,YGL142C,,,,,YKR018C,,,,YHL039W
,,YLR356W,YMR194C-B,YGL145W-1,,,,,YKR049C,,,,YHR033W
,,YLR369W,YMR228W,YGL168W,,,,,YKR078W,,,,YHR034C
,,YLR435W,YMR234W,YGL185C,,,,,YKR085C,,,,YHR153C
,,YML019W,YMR240C,YGL237C,,,,,YLL028W,,,,YHR210C
,,YML050W,YMR244C-A,YGL246C,,,,,YLL051C,,,,YIL152W
,,YML071C,YMR289W,YGL262W,,,,,YLR022C,,,,YIL154C
,,YML078W,YMR313C,YGR004W,,,,,YLR117C,,,,YIR005W
,,YML098W,YMR315W-A,YGR016W,,,,,YLR120C,,,,YJL037W
,,YML111W,YNL005C,YGR017W,,,,,YLR141W,,,,YJL077C
,,YML129C,YNL010W,YGR021W,,,,,YLR163C,,,,YJR057W
,,YMR029C,YNL032W,YGR027C,,,,,YLR208W,,,,YJR060W
,,YMR034C,YNL041C,YGR029W,,,,,YLR328W,,,,YJR096W
,,YMR040W,YNL107W,YGR030C,,,,,YLR363W-A,,,,YJR116W
,,YMR065W,YNL113W,YGR035C,,,,,YLR369W,,,,YKL021C
,,YMR069W,YNL130C,YGR037C,,,,,YLR390W,,,,YKL037W
,,YMR079W,YNL196C,YGR043C,,,,,YLR408C,,,,YLL006W-A
,,YMR099C,YNL249C,YGR053C,,,,,YLR446W,,,,YLR020C
,,YMR110C,YNL252C,YGR088W,,,,,YML031W,,,,YLR147C
,,YMR166C,YNL274C,YGR101W,,,,,YML071C,,,,YLR246W
,,YMR174C,YNL291C,YGR104C,,,,,YML076C,,,,YLR325C
,,YMR183C,YNL292W,YGR127W,,,,,YML098W,,,,YLR345W
,,YMR187C,YNL312W,YGR158C,,,,,YML105C,,,,YLR412C-A
,,YMR224C,YNL334C,YGR165W,,,,,YML111W,,,,YLR445W
,,YMR234W,YNL336W,YGR167W,,,,,YMR069W,,,,YMR139W
,,YMR236W,YNR027W,YGR172C,,,,,YMR096W,,,,YMR175W
,,YMR240C,YNR057C,YGR174C,,,,,YMR097C,,,,YNL084C
,,YMR247W-A,YNR062C,YGR177C,,,,,YMR100W,,,,YNL157W
,,YMR253C,YOL010W,YGR185C,,,,,YMR104C,,,,YNL162W-A
,,YMR265C,YOL053W,YGR193C,,,,,YMR110C,,,,YNL275W
,,YMR270C,YOL071W,YGR197C,,,,,YMR173W,,,,YOL077W-A
,,YMR278W,YOL093W,YGR206W,,,,,YMR193W,,,,YOR006C
,,YMR284W,YOL137W,YGR208W,,,,,YMR208W,,,,YOR022C
,,YMR289W,YOR008C-A,YGR232W,,,,,YMR224C,,,,YOR068C
,,YMR297W,YOR039W,YGR247W,,,,,YMR236W,,,,YOR100C
,,YNL002C,YOR057W,YGR254W,,,,,YMR240C,,,,YOR103C
,,YNL005C,YOR157C,YGR262C,,,,,YMR247W-A,,,,YOR120W
,,YNL010W,YOR161C,YGR267C,,,,,YMR253C,,,,YOR201C
,,YNL032W,YOR177C,YHL011C,,,,,YMR258C,,,,YOR316C
,,YNL107W,YOR193W,YHL015W-A,,,,,YMR297W,,,,YOR367W
,,YNL131W,YOR224C,YHL032C,,,,,YMR305C,,,,YOR376W-A
,,YNL217W,YOR236W,YHR001W-A,,,,,YNL002C,,,,YPL077C
,,YNL240C,YOR250C,YHR008C,,,,,YNL058C,,,,YPL213W
,,YNL265C,YOR262W,YHR017W,,,,,YNL191W,,,,YPR025C
,,YNL281W,YOR288C,YHR032W,,,,,YNL196C,,,,YPR192W
,,YNL336W,YOR298W,YHR046C,,,,,YNL217W,,,,YAL055W
,,YNR027W,YOR304W,YHR075C,,,,,YNL240C,,,,YBL049W
,,YNR032C-A,YOR323C,YHR076W,,,,,YNL249C,,,,YBL068W
,,YNR057C,YOR350C,YHR088W,,,,,YNL265C,,,,YCR007C
,,YNR075W,YPL041C,YHR092C,,,,,YNL277W,,,,YCR095W-A
,,YOL003C,YPL092W,YHR101C,,,,,YNL280C,,,,YDL069C
,,YOL013W-A,YPL122C,YHR110W,,,,,YNL281W,,,,YDL090C
,,YOL014W,YPL130W,YHR132C,,,,,YNL312W,,,,YDR101C
,,YOL104C,YPL188W,YHR139C,,,,,YNR032C-A,,,,YDR115W
,,YOL111C,YPL196W,YHR140W,,,,,YNR062C,,,,YDR328C
,,YOL146W,YPL199C,YHR171W,,,,,YNR075W,,,,YDR357C
,,YOL147C,YPL245W,YHR181W,,,,,YOL010W,,,,YDR394W
,,YOL164W-A,YPR013C,YHR191C,,,,,YOL013W-A,,,,YEL057C
,,YOR004W,YPR066W,YIL009C-A,,,,,YOL033W,,,,YGR105W
,,YOR028C,YPR167C,YIL046W,,,,,YOL053W,,,,YHR132W-A
,,YOR039W,YPR175W,YIL067C,,,,,YOL068C,,,,YIL010W
,,YOR062C,YAL028W,YIL072W,,,,,YOL072W,,,,YIL077C
,,YOR074C,YAR023C,YIL092W,,,,,YOL088C,,,,YIL124W
,,YOR080W,YBR020W,YIL102C,,,,,YOL093W,,,,YIR001C
,,YOR150W,YBR036C,YIL106W,,,,,YOL104C,,,,YJR003C
,,YOR157C,YBR058C-A,YIL121W,,,,,YOL146W,,,,YJR011C
,,YOR164C,YBR120C,YIL132C,,,,,YOL159C,,,,YLR211C
,,YOR224C,YBR125C,YIR010W,,,,,YOL162W,,,,YLR456W
,,YOR236W,YBR268W,YIR017C,,,,,YOL164W-A,,,,YMR274C
,,YOR250C,YBR271W,YIR021W,,,,,YOR028C,,,,YNR066C
,,YOR285W,YBR276C,YIR035C,,,,,YOR033C,,,,YOR338W
,,YOR288C,YBR301W,YIR038C,,,,,YOR040W,,,,YPL002C
,,YOR302W,YCL011C,YJL023C,,,,,YOR057W,,,,YPL072W
,,YOR304W,YCL050C,YJL033W,,,,,YOR080W,,,,YPL099C
