BC187_Beneficial_Genes,BY4743_Beneficial_Genes,DBVPG1373_Beneficial_Genes,NCYC3290_Beneficial_Genes,Y12_Beneficial_Genes,Y2209_Beneficial_Genes,Y389_Beneficial_Genes,Y7568_Beneficial_Genes,YJM1273_Beneficial_Genes,YJM1389_Beneficial_Genes,YJM1592_Beneficial_Genes,YJM978_Beneficial_Genes,YPS128_Beneficial_Genes,YPS163_Beneficial_Genes
YIL035C,YDR377W,YIL083C,,,YDL107W,YDR502C,YPL241C,YBR301W,YCR071C,YLR009W,YBR132C,YML111W,YJL047C
YJL031C,YER018C,YJL090C,,,YFR017C,YEL012W,YPR186C,YCL001W-A,YDR255C,YLR190W,YCL052C,YMR065W,YJR106W
YJL068C,YGL089C,YLL023C,,,YGR154C,YEL018W,YAL013W,YCR061W,YER169W,YML027W,YCR005C,YMR247W-A,YKR011C
YJL146W,YGL144C,YML027W,,,YIL124W,YFR053C,YBL003C,YDL115C,YGR147C,YMR137C,YCR079W,YMR270C,YLL043W
YJL179W,YHR121W,YMR137C,,,YKL043W,YGL039W,YBL013W,YDR041W,YGR187C,YNR074C,YDL105W,YNR027W,YLL052C
YJR043C,YHR129C,YMR244W,,,YNR074C,YGR213C,YBR047W,YDR092W,YGR244C,YOL031C,YDR073W,YOR304W,YLR218C
YKL053C-A,YHR159W,YMR294W,,,YPR051W,YJL031C,YBR145W,YDR162C,YHR148W,YOR061W,YDR145W,YBL018C,YLR228C
YKL142W,YJL048C,YMR322C,,,YCL036W,YJL131C,YBR149W,YDR231C,YJR058C,YPL099C,YDR249C,YBR024W,YLR308W
YKL150W,YJL112W,YNL309W,,,YLR200W,YJL185C,YBR151W,YDR259C,YKR065C,YBR107C,YDR346C,YDL028C,YML058W-A
YLL006W,YJL131C,YOR061W,,,YNL307C,YJR094C,YBR152W,YER141W,YLR200W,YCR059C,YER037W,YDR003W,YML087C
YLL010C,YJL179W,YOR075W,,,,YKL053C-A,YBR165W,YER180C,YMR251W,YDR228C,YER180C-A,YDR049W,YMR036C
YLR215C,YJR042W,YOR145C,,,,YKL091C,YBR267W,YFL016C,YOL144W,YDR255C,YFL045C,YDR181C,YMR232W
YLR385C,YJR043C,YPL074W,,,,YKL114C,YBR278W,YGL081W,YPR046W,YDR498C,YFR003C,YDR473C,YNL306W
YLR406C-A,YJR094C,YPL109C,,,,YLR035C,YCR003W,YGR042W,,YHR136C,YGL063W,YGL028C,YNR033W
YMR200W,YKL006C-A,YPR051W,,,,YLR135W,YCR105W,YGR130C,,YHR148W,YHR001W-A,YGL158W,YOL101C
YNL022C,YKL093W,YCL016C,,,,YLR142W,YCR107W,YGR131W,,YIL040W,YIL051C,YGL235W,YOR051C
YNL050C,YKL114C,YDR194W-A,,,,YLR144C,YDL004W,YGR146C-A,,YIL096C,YJL155C,YGL259W,YOR128C
YNL065W,YLL062C,YGL261C,,,,YLR195C,YDL005C,YGR207C,,YLR011W,YJL183W,YGR174W-A,YOR221C
YNL232W,YLR215C,YGR161W-C,,,,YMR035W,YDL067C,YGR209C,,YLR082C,YKL071W,YHR034C,YOR278W
YNL320W,YLR439W,YHR022C,,,,YMR089C,YDL098C,YIL004C,,YLR200W,YLR022C,YHR090C,YOR308C
YNR001C,YMR048W,YJL082W,,,,YMR172W,YDL165W,YJL077C,,YLR395C,YLR390W,YJL046W,YPL156C
YNR055C,YMR123W,YLR082C,,,,YMR214W,YDR182W,YJL196C,,YNL314W,YMR069W,YJL077C,YPL210C
YOL022C,YMR200W,YLR099W-A,,,,YNL016W,YDR287W,YJR095W,,YOL132W,YMR079W,YJL218W,YAL027W
YOL066C,YNR001C,YLR457C,,,,YNL050C,YDR352W,YJR124C,,YOR099W,YMR234W,YJR078W,YAR035W
YOL069W,YOL005C,YOL032W,,,,YNL065W,YDR368W,YLL033W,,,YNL032W,YKR002W,YBL019W
YOR035C,YOL069W,YPL201C,,,,YNL141W,YDR378C,YLL035W,,,YNL252C,YKR026C,YBR061C
YOR036W,YOR036W,,,,,YNL220W,YDR434W,YLR056W,,,YOL013W-A,YLR066W,YBR074W
YOR079C,YOR066W,,,,,YNL223W,YDR519W,YNL185C,,,YOL111C,YLR093C,YDL012C
YOR274W,YOR368W,,,,,YNL238W,YEL048C,YOR022C,,,YOL162W,YLR283W,YDL149W
YPL117C,YPL175W,,,,,YOL152W,YER014C-A,YOR215C,,,YOR034C-A,YML021C,YDL150W
YPL175W,YPL227C,,,,,YOR035C,YER035W,YOR367W,,,YPR013C,YML038C,YDL170W
YPL227C,YPL241C,,,,,YOR189W,YER083C,YPL213W,,,YBL086C,YMR092C,YDL179W
YPL241C,YBL067C,,,,,YOR245C,YER156C,YPR017C,,,YBL091C-A,YNL157W,YDL243C
YPL250C,YBR035C,,,,,YOR274W,YER175C,YDR101C,,,YBR185C,YNL162W-A,YDR249C
YPL254W,YBR087W,,,,,YPL258C,YGL011C,YGR066C,,,YCL010C,YNR063W,YDR297W
YAL007C,YBR104W,,,,,YPR106W,YGL047W,YGR122W,,,YDR059C,YOL091W,YDR489W
YAL032C,YBR149W,,,,,YAL013W,YGL169W,YGR129W,,,YER061C,YOL151W,YDR534C
YAL034C,YCL055W,,,,,YBL003C,YGL208W,YGR220C,,,YGR286C,YOR022C,YER137C
YAL049C,YCL063W,,,,,YBL029W,YGR057C,YHR048W,,,YIL003W,YOR293C-A,YFR051C
YBL013W,YCR091W,,,,,YBR035C,YGR074W,YHR157W,,,YJL037W,YOR316C,YGL155W
YBR046C,YDL067C,,,,,YBR104W,YGR084C,YJL090C,,,YJL066C,YOR376W-A,YGR004W
YBR047W,YDL148C,,,,,YBR211C,YGR112W,YJL174W,,,YJL184W,YPL003W,YGR053C
YBR145W,YDL159W,,,,,YCL055W,YGR113W,YJR003C,,,YJR022W,YPL178W,YGR237C
YBR151W,YDR035W,,,,,YCL063W,YHL043W,YJR009C,,,YJR024C,YCR095W-A,YGR254W
YBR165W,YDR083W,,,,,YCR002C,YHR004C,YJR098C,,,YLL025W,YDL055C,YHR001W-A
YBR171W,YDR147W,,,,,YCR107W,YHR025W,YLR126C,,,YLR103C,YDL123W,YHR171W
YBR207W,YDR262W,,,,,YDL005C,YHR035W,YML107C,,,YLR180W,YDR101C,YKL100C
YBR278W,YDR364C,,,,,YDL197C,YHR058C,YMR312W,,,YMR156C,YEL039C,YKL116C
YCR002C,YDR378C,,,,,YDR182W,YHR087W,YMR322C,,,YMR318C,YER050C,YKL204W
YCR044C,YDR481C,,,,,YDR277C,YHR187W,YNL146W,,,YNL079C,YFL044C,YKL214C
YCR063W,YEL048C,,,,,YDR375C,YIL070C,YNL263C,,,YNL156C,YGR226C,YLR263W
YDL004W,YER020W,,,,,YDR506C,YIR018W,YNR068C,,,YNR040W,YIL083C,YML071C
YDL067C,YER065C,,,,,YDR518W,YJR129C,YOR324C,,,YOR094W,YIL138C,YMR110C
YDL098C,YER142C,,,,,YDR527W,YKR011C,YPR023C,,,YPL096W,YIL145C,YMR187C
YDR070C,YER156C,,,,,YER020W,YKR058W,YER059W,,,YPL166W,YJL065C,YMR270C
YDR083W,YGL047W,,,,,YER046W,YKR075C,YGR147C,,,YPR017C,YKL049C,YMR297W
YDR287W,YGL176C,,,,,YER053C-A,YLL014W,YGR161W-C,,,YBL080C,YKL084W,YNL163C
YDR294C,YGL240W,,,,,YER063W,YLR040C,YHR022C,,,YEL039C,YLR023C,YNL217W
YDR301W,YGL257C,,,,,YER142C,YLR053C,YJL053W,,,YER055C,YLR164W,YNL292W
YDR353W,YGR074W,,,,,YFR042W,YLR078C,YLR262C-A,,,YFR022W,YML029W,YNR032C-A
YEL046C,YGR194C,,,,,YGL011C,YLR116W,YOR213C,,,YGL087C,YML066C,YOR008C-A
YER003C,YGR234W,,,,,YGL059W,YLR136C,,,,YHL042W,YOR242C,YOR155C
YER065C,YGR273C,,,,,YGL061C,YLR145W,,,,YHR059W,YPL052W,YOR288C
YER156C,YGR283C,,,,,YGL169W,YLR172C,,,,YIL124W,YPL074W,YOR304W
YER175C,YHL009C,,,,,YGL240W,YLR199C,,,,YJL024C,YPL086C,YOR350C
YFR042W,YHL043W,,,,,YGR112W,YLR271W,,,,YJR112W-A,YPL100W,YPL092W
YGL075C,YHR011W,,,,,YGR199W,YLR288C,,,,YNR048W,YPL138C,YPL171C
YGL208W,YHR070W,,,,,YGR282C,YML110C,,,,YPL099C,YCL004W,YPR003C
YGL209W,YHR081W,,,,,YHR035W,YMR184W,,,,YPL236C,YDR179W-A,YPR175W
YGR005C,YHR113W,,,,,YHR087W,YMR272C,,,,YPR182W,YDR498C,YAL015C
YGR121W-A,YHR190W,,,,,YHR112C,YNL052W,,,,YBR154C,YER041W,YBL002W
YGR149W,YIL076W,,,,,YIL076W,YNL130C-A,,,,YBR194W,YGL179C,YBL018C
YGR212W,YIL116W,,,,,YIR025W,YNL222W,,,,YCR076C,YGL261C,YBR002C
YHL009C,YJL088W,,,,,YJL013C,YNL306W,,,,YHL044W,YGR161W-C,YBR026C
YHR058C,YJL127C-B,,,,,YJL105W,YNL330C,,,,YHR013C,YGR180C,YBR043C
YHR081W,YJR129C,,,,,YJL107C,YNR014W,,,,YHR022C,YJL206C,YBR130C
YHR087W,YJR135C,,,,,YJL122W,YNR020C,,,,YIL160C,YMR251W,YBR220C
YIL022W,YKL080W,,,,,YJL126W,YNR030W,,,,YLR375W,YNR059W,YDL028C
YIL103W,YKL099C,,,,,YJL137C,YNR035C,,,,YLR457C,YOL132W,YDL115C
YIR018W,YKL103C,,,,,YJR015W,YNR043W,,,,YMR286W,,YDL169C
YJL107C,YKL170W,,,,,YJR052W,YNR069C,,,,YPL255W,,YDR007W
YJL127C-B,YLR170C,,,,,YKL074C,YOL011W,,,,,,YDR032C
YJR063W,YLR287C,,,,,YKL094W,YOL065C,,,,,,YDR092W
YJR106W,YLR392C,,,,,YKL099C,YOL092W,,,,,,YDR174W
YKL161C,YML009C,,,,,YKL184W,YOL108C,,,,,,YDR256C
YKL216W,YMR036C,,,,,YKL216W,YOR077W,,,,,,YDR410C
YKR045C,YMR067C,,,,,YKR011C,YOR210W,,,,,,YDR490C
YKR056W,YMR233W,,,,,YKR106W,YOR332W,,,,,,YDR517W
YKR075C,YNL056W,,,,,YLR040C,YOR347C,,,,,,YER096W
YLR040C,YNL124W,,,,,YLR136C,YPL010W,,,,,,YER115C
YLR053C,YOL008W,,,,,YLR170C,YPL033C,,,,,,YER141W
YLR078C,YOR030W,,,,,YLR174W,YPL055C,,,,,,YER180C
YLR165C,YOR069W,,,,,YML087C,YPL144W,,,,,,YFL028C
YLR168C,YOR077W,,,,,YML120C,YPR151C,,,,,,YGL080W
YLR174W,YOR126C,,,,,YMR016C,YPR153W,,,,,,YGL158W
YLR203C,YOR128C,,,,,YMR140W,YPR154W,,,,,,YGL171W
YLR225C,YOR261C,,,,,YMR201C,YAL010C,,,,,,YGR130C
YLR234W,YOR278W,,,,,YMR213W,YAL030W,,,,,,YGR205W
YML102W,YOR280C,,,,,YMR296C,YAL059W,,,,,,YGR210C
YMR168C,YOR347C,,,,,YNL176C,YAR035W,,,,,,YHR143W-A
YMR180C,YOR375C,,,,,YNL199C,YBL016W,,,,,,YHR160C
YNL026W,YPR058W,,,,,YNL330C,YBL021C,,,,,,YIL024C
YNL040W,YPR153W,,,,,YOL108C,YBL107C,,,,,,YIL097W
YNL100W,YAL010C,,,,,YOL110W,YBR013C,,,,,,YJL059W
YNL158W,YAL030W,,,,,YOR069W,YBR137W,,,,,,YJL099W
YNL306W,YAL059W,,,,,YOR386W,YBR193C,,,,,,YJL141C
YNR069C,YBL107C,,,,,YPL033C,YBR253W,,,,,,YJL196C
YOL008W,YBR005W,,,,,YPL055C,YBR257W,,,,,,YJR069C
YOL065C,YBR022W,,,,,YPL088W,YCR046C,,,,,,YJR078W
YOL086W-A,YBR029C,,,,,YPL133C,YCR069W,,,,,,YJR095W
YOL108C,YBR037C,,,,,YPL194W,YDL120W,,,,,,YKL120W
YOL122C,YBR065C,,,,,YPL210C,YDL181W,,,,,,YKL162C
YOR030W,YBR074W,,,,,YPR151C,YDR065W,,,,,,YKR005C
YOR046C,YBR088C,,,,,YBL006C,YDR090C,,,,,,YKR060W
YOR126C,YBR137W,,,,,YBL016W,YDR121W,,,,,,YKR080W
YOR253W,YBR147W,,,,,YBL069W,YDR145W,,,,,,YLR001C
YOR332W,YBR257W,,,,,YBR013C,YDR156W,,,,,,YLR016C
YPL066W,YCR094W,,,,,YBR029C,YDR363W-A,,,,,,YLR063W
YPL133C,YDL085C-A,,,,,YBR037C,YDR478W,,,,,,YLR085C
